id,date,content,user/username
1.28701E+18,2020-07-25 13:01:24+00:00,"College Football Coaches! 
Huge and super strong!

Jackson Bradley ‘21 OT
6’5 300 
3.5 GPA 
BENCH 420 SQUAT 600
CLEAN 350 
Webb School of 
Knoxville, Tennessee 
Twitter-@JacksonBrad73
865-582-1773

https://t.co/1ktn0KmYFC

https://t.co/IZoduBDRJG",coachcurtis42
1.30156E+18,2020-09-03 16:34:07+00:00,"We are hiring a Chief Inclusion &amp; Diversity Officer! We are looking for a CIDO to join us as we challenge ourselves &amp; the businesses that we support to think about inclusion, diversity, &amp; equality differently. View the full job description &amp; apply here: https://t.co/XwrkAhyHgT https://t.co/ckTfIhXLPk",ProgressSW
1.28576E+18,2020-07-22 02:06:00+00:00,"Jackson Bradley ‘21 OT
6’5 300 
3.5 GPA 
BENCH 420 SQUAT 600
CLEAN 350 
Webb School of 
Knoxville, Tennessee 
Twitter-@JacksonBrad73
865-582-1773

https://t.co/1ktn0KmYFC

https://t.co/IZoduBDRJG",coachcurtis42
1.28286E+18,2020-07-14 01:59:10+00:00,"Jackson Bradley ‘21 OT
6’5 300 
3.5 GPA 
BENCH 420 SQUAT 600
CLEAN 350 
Webb School of 
Knoxville, Tennessee 
Twitter-@JacksonBrad73
865-582-1773

https://t.co/1ktn0KmYFC

https://t.co/IZoduBDRJG",coachcurtis42
1.28085E+18,2020-07-08 13:17:28+00:00,"Jackson Bradley ‘21 OT
6’5 300 
3.5 GPA 
BENCH 420 SQUAT 600
CLEAN 350 
Webb School of 
Knoxville, Tennessee 
Twitter-@JacksonBrad73
865-582-1773

https://t.co/1ktn0KmYFC",coachcurtis42
1.28054E+18,2020-07-07 16:42:46+00:00,"Short #clip of this week’s ep. It’ll be on #youtube tomorrow. https://t.co/nOBg5aMVU0
#b3f #bestfriends #podcast #comedy #humor #humour #tennessee #knoxville #knoxvilletn #applepodcasts #spotify #twitter #alcohol #drinkingbuddies #progressive #progressivism #identify https://t.co/5yNJ9RWjEc",B3FPodcast
1.27987E+18,2020-07-05 19:50:13+00:00,@_Unicorn_Cat_ Yo. I follow you on Instagram and twitter. On several of my accounts. Only problem is we're far apart from each other and I doubt youd be willing to come to Knoxville Tennessee,FN__1414
1.27706E+18,2020-06-28 02:05:16+00:00,"His name is Colton Dane Williams, appears to reside in Knoxville Tennessee, and attends @UTKnoxville. They have a literal known Nazi and Klansmen who seems to concentrate their activity and recruitment to that specific college and the city of Knoxville.

Go wild, Twitter. https://t.co/Uo0PhbURgC",littlestgremlin
1.27674E+18,2020-06-27 04:38:06+00:00,"Knoxville, Tennessee, The 2007 carjacking, torture, rape and murder of Christopher Newsom and his girlfriend Channon Christian both white. The details would get me kicked off of Twitter. Their names are no less important than George Floyd. @RealCandaceO",OVoluntarist
1.27147E+18,2020-06-12 16:05:58+00:00,Student in racist video posted to Twitter no longer enrolled at U. of Tennessee | Knoxville News Sentinel | https://t.co/DunW7FHwxj,MSUNewsDigest
1.26859E+18,2020-06-04 17:08:58+00:00,U. of Tennessee investigating video of incoming cheerleader's racial slurs shared on Twitter | Knoxville News Sentinel | https://t.co/WLUNouG05o,MSUNewsDigest
1.26749E+18,2020-06-01 16:32:38+00:00,Quick clip of this week’s episode. https://t.co/58ucyEaOGU #b3f #bestfriends #podcast #comedy #humor #humour #tennessee #knoxville #easttennessee #knoxvilletn #applepodcasts #spotify #stitcher #anchor #twitter #alcohol #drinkingbuddies #naked #sleep https://t.co/rqs62Wbm3v,B3FPodcast
1.26659E+18,2020-05-30 04:23:55+00:00,"@chrislawsonknox @Cosgin12 “chimp out” oh Chris Lawson out of Knoxville, Tennessee, I hope you own your own business because if you don’t, you just lost your job for making a racist comment.

No need to delete your twitter either. #screenshot 📸",AbkTrauma
