date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-09-06 23:09:14,DondePlowman,josh_dobbs1,0,2,64,"Awesome. Josh, really happy for you and for Tennessee —— to see one of our Vols For Life recognized again! Let’s go Steelers!",,,,1302745706252382208,https://twitter.com/DondePlowman/status/1302745706252382208
2020-09-06 21:32:58,DondePlowman,josh_dobbs1,3,9,354,"I’m a Steelers fan now!",,,,1302721479860199424,https://twitter.com/DondePlowman/status/1302721479860199424
2020-09-05 00:25:28,DondePlowman,Vol_Football,1,4,98,"The Volunteer spirit alive and well, making a difference to others in our community.",,,,1302040113455783936,https://twitter.com/DondePlowman/status/1302040113455783936
2020-09-04 17:55:32,DondePlowman,UTTurfPath,0,0,23,"Thanks Brandon @UTTurfPath for the nice comments. We are #allinthistogether! Proud to be a Vol also.",,@UTTurfPath,#allinthistogether,1301941981845823491,https://twitter.com/DondePlowman/status/1301941981845823491
2020-09-03 19:46:35,DondePlowman,drrusselldyer,2,1,23,"Yes it was @Ronaldayoung and he told me about making announcements over the intercom. Thanks for preparing him well to be a Vol!",,@Ronaldayoung,,1301607543387684864,https://twitter.com/DondePlowman/status/1301607543387684864
2020-09-03 14:49:35,DondePlowman,jill_malolepszy,2,7,26,"We are a campus where we want everyone to know they matter and belong. I am thrilled how the creation of the Commission for Disability will help us support our mission.",,,,1301532799673888769,https://twitter.com/DondePlowman/status/1301532799673888769
2020-09-03 14:41:36,DondePlowman,,3,12,236,"I heard this from a student who came to Chancellor’s office Hours on Tuesday. “Make it a great day - or not. The choice is yours.” Love that philosophy.",,,,1301530788958220288,https://twitter.com/DondePlowman/status/1301530788958220288
2020-09-03 13:21:00,DondePlowman,hannahj_teachin,1,0,33,"A future Vol right there!",,,,1301510505836744705,https://twitter.com/DondePlowman/status/1301510505836744705
2020-09-02 22:42:06,DondePlowman,ambers_williams,0,3,15,"This pulse survey is so important. Will help us learn what you need! Vols, please take a minute to fill it out.",,,,1301289325028614146,https://twitter.com/DondePlowman/status/1301289325028614146
2020-09-02 21:39:46,DondePlowman,sectrehargett,0,0,17,"Thank you @sectrehargett for stopping in today. It was great to get to visit with you. I appreciate all your support for this great university. Go Vols!",,@sectrehargett,,1301273636146470912,https://twitter.com/DondePlowman/status/1301273636146470912
2020-09-02 14:48:48,DondePlowman,mkostelnik2,0,0,1,"I always tell people exactly where I got that idea. - from the amazing Dean Marjorie Kostelnik.",,,,1301170214390898690,https://twitter.com/DondePlowman/status/1301170214390898690
2020-09-02 12:54:44,DondePlowman,HalPriestley1,0,0,8,"Totally agree with that @HalPriestley1. Thanks for adding to the conversation.",,@HalPriestley1,,1301141510386266112,https://twitter.com/DondePlowman/status/1301141510386266112
2020-09-02 11:16:02,DondePlowman,,1,7,76,"Last night in my class on Leadership we discussed the idea that leadership is the ‘willingness to act’. A-C-T. Leadership involves actions that Affirm a value, Choices requiring courage, Team & others come first. A-C-T.",,,,1301116671592206339,https://twitter.com/DondePlowman/status/1301116671592206339
